image_name,blur_score,brightness,contrast,width,height,resolution,grade
img_1341.jpg,556.95,125.14,60.24,800,600,480000,B
img_1342.jpg,1310.31,158.19,59.23,800,600,480000,A
img_1343.jpg,440.95,118.34,45.23,800,599,479200,C
img_1344.jpg,727.96,102.77,42.85,800,599,479200,B
img_1345.jpg,526.64,102.19,54.32,800,600,480000,B
img_1346.jpg,1106.57,137.88,54.34,800,1062,849600,A
img_1347.jpg,3487.75,113.94,56.56,800,600,480000,A
img_1348.jpg,624.1,124.96,54.3,800,1066,852800,B
img_1349.jpg,1664.06,112.86,56.39,800,600,480000,A
img_135.jpg,310.14,123.18,37.8,800,600,480000,C
img_1350.jpg,69.09,144.06,53.96,800,1066,852800,D
img_1351.jpg,445.34,122.53,49.06,800,600,480000,C
img_1352.jpg,241.18,132.02,55.11,800,600,480000,C
img_1353.jpg,10.04,130.48,45.67,800,1422,1137600,D
img_1354.jpg,1143.59,125.07,53.81,800,1066,852800,A
img_1355.jpg,3252.71,121.49,37.02,800,600,480000,C
img_1356.jpg,808.65,103.84,87.29,800,1062,849600,B
img_1357.jpg,1947.68,142.74,59.16,800,1066,852800,A
img_1358.jpg,128.37,119.99,61.49,800,600,480000,D
img_1359.jpg,532.44,145.17,47.82,800,600,480000,B
img_136.jpg,767.76,140.49,53.82,800,600,480000,B
img_1360.jpg,2963.97,136.58,44.71,800,600,480000,B
img_1361.jpg,9383.29,119.82,67.41,800,600,480000,A
img_1362.jpg,1163.35,109.55,55.49,800,800,640000,A
img_1363.jpg,210.99,121.54,52.87,800,600,480000,C
img_1364.jpg,3171.18,83.85,55.41,800,600,480000,A
img_1365.jpg,53.27,122.74,45.46,800,1062,849600,D
img_1366.jpg,1722.63,118.25,57.28,800,600,480000,A
img_1367.jpg,990.8,126.5,64.46,800,1066,852800,B
img_1368.jpg,1365.31,101.62,65.66,800,600,480000,A
img_1369.jpg,196.18,93.54,35.4,800,600,480000,D
img_137.jpg,1387.92,152.64,50.98,800,600,480000,A
img_1370.jpg,4823.24,123.39,53.87,800,600,480000,A
img_1371.jpg,699.44,104.43,75.82,800,1066,852800,B
img_1372.jpg,260.97,96.77,59.96,800,600,480000,C
img_1373.jpg,347.53,122.63,56.24,800,600,480000,C
img_1374.jpg,882.83,138.02,46.67,800,599,479200,B
img_1375.jpg,1357.66,105.96,52.8,800,600,480000,A
img_1376.jpg,113.29,182.6,57.72,800,600,480000,D
img_1377.jpg,410.84,135.33,51.08,800,1066,852800,C
img_1378.jpg,151.05,144.79,55.97,800,600,480000,D
img_1379.jpg,391.3,129.84,63.03,800,600,480000,C
img_138.jpg,631.69,156.11,53.41,800,600,480000,B
img_1380.jpg,1379.74,139.94,57.22,800,600,480000,A
img_1381.jpg,2343.76,122.68,54.86,800,600,480000,A
img_1382.jpg,1575.86,119.76,57.25,800,1062,849600,A
img_1383.jpg,2359.48,95.98,58.7,800,600,480000,A
img_1384.jpg,1940.44,94.44,64.87,800,1066,852800,A
img_1385.jpg,1576.84,179.07,66.57,800,599,479200,A
img_1386.jpg,2505.66,104.27,56.85,800,599,479200,A
img_1387.jpg,220.26,140.92,51.46,800,600,480000,C
img_1388.jpg,242.74,128.52,38.13,800,600,480000,C
img_1389.jpg,538.6,117.14,62.89,800,600,480000,B
